oloc_01J0295JSBSYFYE9ZRAEHJ4AJD,,TransTech Social,,,Los Angeles,,f,gdst_01GW2HJ23GMD17FBJMJWD16PZ1,ctry_01GW2HHDK9M26M80SG63T21SVH,,,,,,t,f,orgn_01J025AVQG1S92B61DY06Q44SR,,2024-06-10 23:54:07.533,2024-06-28 21:56:46.131,,,f,HIDDEN
oloc_01GVH3WMAP7KETY863SD83KRE9,6338e2b3b155890016f14f65,"Love Wins Food Pantry, SAGE Center Harlem ",220 West 143rd Street,,New York,10030,f,gdst_01GW2HJXH936VB5WWAHK8S8X0A,ctry_01GW2HHDK9M26M80SG63T21SVH,-73.941216,40.820656,0101000020E6100000000000E03C7C52C0000000400B694440,"{'"type'": '"Point'", '"coordinates'": [-73.941215515, 40.820655823]}",POINT(-73.94121551513672 40.820655822753906),t,f,orgn_01GVH3VBAEK0QRMR6RPE2GRGD1,,2022-10-02 00:54:36.595,2024-06-28 23:37:19.61,,,f,FULL
oloc_01J4D9GDP0R5KFQ9CAHB45GVBY,,Address,474 Ridge Street Northwest,,Washington,20001,f,gdst_01GW2HJ5A278S2G84AB3N9FCW0,ctry_01GW2HHDK9M26M80SG63T21SVH,-77.01866,38.906284,0101000020E6100000000000C0314153C00000002001744340,"{'"type'": '"Point'", '"coordinates'": [-77.018661499, 38.906284332]}",POINT(-77.01866149902344 38.90628433227539),f,f,orgn_01J4AXNJMMNJZ29ADAD3JMYP90,,2024-08-03 23:34:28.803,2024-08-03 23:34:28.803,,,f,FULL
oloc_01JA5VHA5GXC1SDZR2S160QJSQ,,National,,,Los Angeles,,f,gdst_01GW2HJ23GMD17FBJMJWD16PZ1,ctry_01GW2HHDK9M26M80SG63T21SVH,-118.242645,34.05491,0101000020E610000000000080878F5DC00000004007074140,"{'"type'": '"Point'", '"coordinates'": [-118.242645264, 34.054908752]}",POINT(-118.24264526367188 34.054908752441406),t,f,orgn_01J868JEE2ERGJPP2GW6NSQ3QE,,2024-10-14 15:49:47.828,2024-10-14 15:53:48.267,,,f,HIDDEN
oloc_01HQBFZYKHG4JBFCDVD4HEV0AW,,San Diego - Multiple Locations (Check Website),,,San Diego,,f,gdst_01GW2HJ23GMD17FBJMJWD16PZ1,ctry_01GW2HHDK9M26M80SG63T21SVH,-117.16109,32.715736,0101000020E6100000000000404F4A5DC0000000409D5B4040,"{'"type'": '"Point'", '"coordinates'": [-117.161087036, 32.715736389]}",POINT(-117.16108703613281 32.715736389160156),t,f,orgn_01HC82WD1ZM95ANBHYFB3WKAK9,,2024-02-23 22:03:32.699,2024-08-06 18:12:35.061,,,f,PARTIAL
oloc_01GVH3VEDTMKJWP95YATW0AEMJ,5e7e4bdad54f1760921a3f92,"Niswa Association, Inc.",2460 Torrance Boulevard,,Torrance,90501,f,gdst_01GW2HJ23GMD17FBJMJWD16PZ1,ctry_01GW2HHDK9M26M80SG63T21SVH,-118.3278,33.83609,0101000020E6100000000000A0FA945DC00000000005EB4040,"{'"type'": '"Point'", '"coordinates'": [-118.327796936, 33.836090088]}",POINT(-118.32779693603516 33.836090087890625),t,f,orgn_01GVH3V3WSXKEZNQJ7ZFTMS13V,,2020-03-27 18:54:18.886,2024-07-03 22:10:21.854,,,f,PARTIAL
oloc_01J2RYMBWHHCV4CTNG9DP3WTTR,,Massachusetts ,1254 Boylston Street,,Boston,02215,f,gdst_01GW2HJJGA979WFBS7S7ECK0JK,ctry_01GW2HHDK9M26M80SG63T21SVH,-71.09573,42.34494,0101000020E61000000000008020C651C000000000272C4540,"{'"type'": '"Point'", '"coordinates'": [-71.095733643, 42.344940186]}",POINT(-71.09573364257812 42.344940185546875),f,f,orgn_01HQ9F4DRCB2YYEQ6HJ8E3VMJE,,2024-07-14 15:43:53.236,2024-10-29 14:48:36.569,,,f,PARTIAL
oloc_01J2M07785RJSH9NWKH1NMARTV,,"Memphis, TN",2694 McGregor Avenue,,Memphis,38127,f,gdst_01GW2HK6H7B5T82KZ82DZSFNR0,ctry_01GW2HHDK9M26M80SG63T21SVH,-89.97394,35.219906,0101000020E610000000000000557E56C0000000E0259C4140,"{'"type'": '"Point'", '"coordinates'": [-89.973937988, 35.219905853]}",POINT(-89.97393798828125 35.219905853271484),t,f,orgn_01J2CQBGE1F8N36HP4936CYZQT,,2024-07-12 17:35:27.495,2024-07-12 17:44:24.739,,,f,PARTIAL
oloc_01J31C23D0HCMFKWP0FJ8K34E4,,Office,,,Pittsburgh,15224,f,gdst_01GW2HK3G7JGSCMVRQERYCRQGY,ctry_01GW2HHDK9M26M80SG63T21SVH,-79.99589,40.440624,0101000020E6100000000000A0BCFF53C00000006066384440,"{'"type'": '"Point'", '"coordinates'": [-79.995887756, 40.440624237]}",POINT(-79.99588775634766 40.44062423706055),f,f,orgn_01GVH3V9ZHVTSPR8930SSGG1B7,,2024-07-17 22:12:30.245,2024-07-17 22:12:47.587,,,f,PARTIAL
oloc_01J5VEAJB37DEJMZVW75AT7TQZ,,Main Office,501 Jefferson Street,,Lafayette,70501,f,gdst_01GW2HJG2676AX4NRXHWA4PB8B,ctry_01GW2HHDK9M26M80SG63T21SVH,-92.01834,30.22556,0101000020E6100000000000802C0157C000000040BE393E40,"{'"type'": '"Point'", '"coordinates'": [-92.018341064, 30.225559235]}",POINT(-92.01834106445312 30.22555923461914),t,f,orgn_01HSFFPV1R0XG2E7ZAVAD0RYTV,,2024-08-21 21:43:43.718,2024-12-21 19:02:00.624,,,f,PARTIAL
oloc_01J3RHXYGMWS2EC6H30B9SEVK9,,Iowa,,,Des Moines,,f,gdst_01GW2HJC4WJWMZA8VDNVVE5RZQ,ctry_01GW2HHDK9M26M80SG63T21SVH,-93.624954,41.58684,0101000020E610000000000040FF6757C0000000A01DCB4440,"{'"type'": '"Point'", '"coordinates'": [-93.624954224, 41.586841583]}",POINT(-93.62495422363281 41.58684158325195),t,f,orgn_01J0K3DFMXPCDMH7EX3MF5M7VV,,2024-07-26 22:17:37.56,2024-07-26 22:22:15.838,,,f,PARTIAL
