oeml_01GVH3VDNH52VNTF0X4VFER7WJ,5e7e4bd9d54f1760921a3b03,General Information,,,t,info@mnhc.org,t,f,,ftxt_01GW2HT850MM07HTQ89ARHBJ1Z,f,f,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621
oeml_01GVH3VDNHAE4WN9TBZ5WX3YJ0,6025833c66916400154db6fd,Teen Clinic,,,f,teenclinic@mnhc.org,f,f,,ftxt_01GW2HT850HTBW7DNHEJ7BCZNJ,f,f,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621
oeml_01H299KD96SP04WJ2RHVKN5QQG,641b782637a693000886ee52,General Email,,,t,information@recoverycafelexington.org,t,f,,ftxt_01H29ENF8JP14AP5FB8627NHC4,f,f,2023-03-22 21:47:01.905,2023-05-12 23:38:51.738
oeml_01H299KDBA8DRNTMK9N46D6Y2Y,6421e2cae91446000884b30c,General Email,,,t,southsideoffice@gmail.com,t,f,,ftxt_01H29ENFAE4DDGHQDJ0THP1N16,f,f,2023-03-27 18:23:59.53,2023-05-13 00:53:11.763
oeml_01H299KDBP9EKN0TSA7Q54HHZN,64237c397a16ed00086b0f8d,General Email,,,t,info@lgbtqcenterofdurham.org,t,f,,ftxt_01H29ENFAQ5B5GJGWHES0WQ789,f,f,2023-03-28 23:39:04.438,2023-05-13 15:57:23.635
oeml_01H299KDBP9QENNVBE76442S0Q,645ee21a7e047200081ff1e3,The LGBTQ+ Youth Center,,,f,youthcenter@lgbtqcenterofdurham.org,t,f,,ftxt_01H29ENFAQQ909PHWQ8KFAN4RM,f,f,2023-03-28 23:39:04.438,2023-05-13 15:57:23.635
oeml_01GVH3VDXME9DT456T2X2BVYFW,5e7e4bdad54f1760921a3c70,Health clinic,,,f,healthappt@sfcityimpact.com,t,f,,ftxt_01GW2HT89585NGH12XQEYC5TRJ,f,f,2020-03-27 18:54:18.037,2022-12-09 21:55:53.158
oeml_01GVH3VDXMRX4P1GD2SHFVAVZ1,5e7e4bdad54f1760921a3c71,General information,,,t,info@sfcityimpact.com,t,f,,ftxt_01GW2HT89567GK0GX6MVG93854,f,f,2020-03-27 18:54:18.037,2022-12-09 21:55:53.158
oeml_01GVH3VDXMCECM6X0A014XG318,6028b61dd4f6dd0015f938a5,Health Clinic Referrals,,,f,healthreferral@sfcityimpact.com,t,f,,ftxt_01GW2HT89553FJZCWAMJZHB4N0,f,f,2020-03-27 18:54:18.037,2022-12-09 21:55:53.158
oeml_01GVH3VDVQ5WR74RMW81HVH96M,60edc872f965f00015e52134,Emergency Services Guide,,,f,outreach@upwardlyglobal.org,t,f,,ftxt_01GW2HT8A19M6T2C1N30C9TDT6,f,f,2020-03-27 18:54:17.905,2022-12-08 20:32:11.245
oeml_01GVH3VDZKEN3QCBQ5W32WBQM4,5e7e4bdad54f1760921a3cb7,HIV Testing Coordinator,Daniel,Marin,f,hivtest@defrank.org,t,f,,ftxt_01GW2HT8AF3BWQ3HCVTQ5CGBJ2,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZK3QMZBK8F64RPH08V,5e7e4bdad54f1760921a3cb8,Depression and Support Group Coodinator,Mark,,f,deepblue768@gmail.com,f,f,,ftxt_01GW2HT8AF4YSMKQVN3YC7ZGWZ,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZKYZBN82Q9S3HDGKV9,5e7e4bdad54f1760921a3cb9,Vintage/ Senior Program,,,f,vintage@defrank.org,t,f,,ftxt_01GW2HT8AFNWHTV9ZDYWCT7AA0,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZKTYPANAP4R8MVBY1V,5e7e4bdad54f1760921a3cba,SLAA Meeting,,,f,SLAAmeetingBDF@gmail.com,f,f,,ftxt_01GW2HT8AGM9740TCWT0VNVGKM,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZK9B6HSCSEF516W3YC,5e7e4bdad54f1760921a3cbb,General Inquiries,,,t,fabulous@defrank.org,t,f,,ftxt_01GW2HT8AGS3CG0RP0T8RJSFNT,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZKHF1XNSS0ZNBHCAME,60c6358a08fa950015c751a8,Queer Library,,,f,library@defrank.org,t,f,,ftxt_01GW2HT8AGKBX70QGTWFEEZF5W,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZK9JGTC7VESR0WNP0A,60c639ca08fa950015c751dd,Queer Writing Workshop,,,f,niko@defrank.org,t,f,,ftxt_01GW2HT8AGEYXT80H3T130NWNT,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZK0QE4X427P5YB84F9,60c63c4208fa950015c75213,Billy DeFrank Advocacy Team,,,f,advocacy@defrank.org,t,f,,ftxt_01GW2HT8AGEZGJ74FDG71PC9YE,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VDZKMZPB6673TATB663J,60c63df008fa950015c75233,Queer Women Support Group,Erica,,f,erica@defrank.org,t,f,,ftxt_01GW2HT8AGGRG9GXCYNHMM8G3C,f,f,2020-03-27 18:54:18.109,2023-02-23 16:32:43.357
oeml_01GVH3VE4ARQDS1C8T1MBRCNR8,5e7e4bdad54f1760921a3dac,Legal Clinic,,,f,legalclinic@mcabayarea.org,t,f,,ftxt_01GW2HT8VS6EY0830XPB5MR7G9,f,f,2020-03-27 18:54:18.36,2023-05-30 14:20:33.429
oeml_01GVH3VKMM8E56EE388SXFYSCM,6060bb295253730015fe51fe,,,,t,info@CAMBA.org,t,f,,,f,t,2020-03-27 18:54:26.147,2023-05-30 15:40:01.607
oeml_01GVH3VDKE65MTNRT6SSX9NKD9,5e7e4bd9d54f1760921a3ab7,Lyon-Martin Health Services (note: they cannot email patients),,,t,info@lyon-martin.org,t,f,,ftxt_01GW2HT8CP66AG120WPNNEJW3A,f,f,2020-03-27 18:54:17.398,2023-03-07 04:35:45.424
