osvc_01GVH3VDNT09B2TCBK1QZ86CJ4,6025893866916400154db74e,t,f,Get free reproductive health services for teens,ftxt_01GW2HT85HRV13GV88E8XWYN9X,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT85MZ8TXPC8KD46WC5SB,
osvc_01GVH3VDNYJ1SNCGRD9H1WFA68,6025881f66916400154db737,t,f,Get free HIV tests and counseling for teens,ftxt_01GW2HT85PT5FWS0WT9E5ADCHR,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT85R50640GN0TB3NXP80,
osvc_01GVH3VDP2TGZ9X21AJ0Y3142T,60258ac966916400154db763,t,f,Get free STI check and treatment for teens,ftxt_01GW2HT85TDGG5N6RZ145ZP502,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT85XD1CKGNC0DGCH8FSG,
osvc_01GVH3VDP6BKPGB2YJG0PRX7WZ,5e7e4bd9d54f1760921a3b1f,t,f,Get family dental services,ftxt_01GW2HT861P80GAX4PQ5VBWPZT,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT863KBACV0EEK10S2R38,
osvc_01GVH3VDPAQBEWFC1B9GPVX68E,5e7e4bd9d54f1760921a3b22,t,f,Participate in a birth preparation class,ftxt_01GW2HT86498QENF59S7TKE2BM,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT8663JYVHM5DC2GBTQY8,
osvc_01GVH3VDPDDX85N8KT17018WCT,5e7e4bd9d54f1760921a3b29,t,f,Get prenatal and GYN health services,ftxt_01GW2HT867QJEHAG1D7V3T7SBP,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT8697AS5Q6R4WHC0EQDD,
osvc_01GVH3VDPGKHQF2RXCAPYVXA7E,5e7e4bd9d54f1760921a3b27,t,f,Get low-cost pediatric health services,ftxt_01GW2HT86BNY96KH9TMMWE5BXP,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT86EPYF12M4HWPHQQD26,
osvc_01GVH3VDPRXJZYG09XXPEVNZ69,5e7e4bd9d54f1760921a3b1b,t,f,Join an HIV risk-reduction intervention program,ftxt_01GW2HT86G2BEEE035DDYEZ6B7,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT86JMESGW9RZ9KGQ9YND,
osvc_01GVH3VDPWGK64C5D7JVCCRTVE,5e7e4bd9d54f1760921a3b1d,t,f,"Get HIV treatment, education, and counseling",ftxt_01GW2HT86MGW2THGAGVY51T5R5,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT86Q30WEN1YRRJEMXKRM,
osvc_01GVH3VDQ0HTY973RM22578MTJ,602844e3d4f6dd0015f9376e,t,f,"Join a knitting support group for HIV patients, friends, and family",ftxt_01GW2HT86TRSZ2PMVH104ACW65,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT86X636Y4PC11VAMJGMY,
osvc_01GVH3VDQ4B1QTJMN6B9Z8KXF5,602847efd4f6dd0015f937a6,t,f,Join a HIV self-management and health-enhancement program,ftxt_01GW2HT86ZEBBAZZXJ5ETXS88X,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT873P0B54TRJE2TV8ESR,
osvc_01GVH3VDQ7WZ9RYJYN1XVYP6J8,5e7e4bd9d54f1760921a3b2c,t,f,Receive free wellness consultation,ftxt_01GW2HT875CBBRQFS211H7R11N,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT877PGFT9CJZ7ZMY3EHZ,
osvc_01GVH3VDQAK3BDNGYD4913PH47,5e7e4bd9d54f1760921a3b32,t,f,Get laboratory and pharmacy services,ftxt_01GW2HT8799H6TD3KTF99RH0NR,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT87CCSK3SNPKBEXW3MHQ,
osvc_01GVH3VDQEPVJPGX3GQF79CX6Z,5e7e4bd9d54f1760921a3b25,t,f,Get free health education for teens,ftxt_01GW2HT87EDAYF1W1BQTA49T38,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT87HPNJC475XD1K1JPTN,
osvc_01GVH3VDQJRATSVWC8RPDHESJV,5e7e4bd9d54f1760921a3b19,t,f,Receive medical services for adults and seniors,ftxt_01GW2HT87K3PY786ZAGPCWY0FZ,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT87PK5MJ16WFTDRR7K5H,
osvc_01GVH3VDQNXWD9PP79VEMWK0JE,60258c4166916400154db77e,t,f,Get free counseling and mental health service referrals for teens,ftxt_01GW2HT87RMTWEE3Q20BN4EPVH,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT87T9D86TVZJ3EZY48C5,
osvc_01GVH3VDQS9E7ADN5HDBW62MYK,60258bbd66916400154db76e,t,f,Get free dental referrals for teens,ftxt_01GW2HT87V96JHKAWM7GB9ZQFB,orgn_01GVH3V3RH5M6GGKBWQWAX6QY4,2020-03-27 18:54:17.601,2023-03-02 20:17:16.621,,ftxt_01GW2HT882D5X7JFFY6CE13WQ1,
