svtg_01H64GVYCYZBWXBSKK8WX2D7NJ,Resettlement Assistance,t,international-support.resettlement-assistance,services,2023-08-01 22:44:30.716,2023-08-01 22:44:30.716,,svct_01H64G5CDDYVMADBGTS0TPWF86
svtg_01H64GWD9JR68SJWYFC9TBK290,Mental Health,t,international-support.mental-health,services,2023-08-01 22:44:30.716,2023-08-01 22:44:30.716,,svct_01H64G5CDDYVMADBGTS0TPWF86
svtg_01H64GX7989A4T26WH1H6566DG,Financial Assistance,t,international-support.financial-assistance,services,2023-08-01 22:44:30.716,2023-08-01 22:44:30.716,,svct_01H64G5CDDYVMADBGTS0TPWF86
svtg_01H6PAQDGBNFT1G78M9T4MVR4G,Crisis Support,t,crisis-support.crisis-support,services,2023-08-01 22:44:37.278,2023-08-01 22:44:37.278,t,svct_01H6P8M1YA3H7QX3CXN25Q9F00
svtg_01GW2HHFBN31248B3MH1486GE9,Abortion providers,t,abortion-care.abortion-providers,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVBM0ZHVJ295P2QKR6H
svtg_01GW2HHFBNJ01JJT2ZGR52T4CM,Financial assistance,t,abortion-care.financial-assistance,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVBM0ZHVJ295P2QKR6H
svtg_01GW2HHFBNE70TNNS3KMKEYG8C,Lodging assistance,t,abortion-care.lodging-assistance,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVBM0ZHVJ295P2QKR6H
svtg_01GW2HHFBNPM2CZ5S6A5GZ3CWY,Mail order services,t,abortion-care.mail-order-services,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVBM0ZHVJ295P2QKR6H
svtg_01GW2HHFBN4B2F1W8HAWNK1HVS,Computers and internet,t,computers-and-internet.computers-and-internet,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDKRVB42KT85KA3FM3
svtg_01GW2HHFBP8GY6D2YJ8N1GYTNH,Career counseling,t,education-and-employment.career-counseling,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDX898ZT0QGM471WMV
svtg_01GW2HHFBPZFZF43FEHPV32JC8,Educational support for LGBTQ youth,t,education-and-employment.educational-support-for-lgbtq-youth,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDX898ZT0QGM471WMV
svtg_01GW2HHFBPC0P27MT0WMA3C4QH,English classes,t,education-and-employment.english-classes,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDX898ZT0QGM471WMV
svtg_01GW2HHFBPVH03WA49B1ABGW0F,Libraries,t,education-and-employment.libraries,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDX898ZT0QGM471WMV
svtg_01GW2HHFBPBQ7XNCBG5AJF6W0X,Scholarships,t,education-and-employment.scholarships,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVDX898ZT0QGM471WMV
svtg_01GW2HHFBPG92H7F9REAG9T2X5,Drop-in centers for LGBTQ youth,t,housing.drop-in-centers-for-lgbtq-youth,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVF8W7D67CH3NVSQYA6
svtg_01GW2HHFBPYW3BJXHHZSM33PMY,Emergency housing,t,housing.emergency-housing,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVF8W7D67CH3NVSQYA6
svtg_01GW2HHFBP3A2B8E5F070E9HR6,Housing information and referrals,t,housing.housing-information-and-referrals,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVF8W7D67CH3NVSQYA6
svtg_01GW2HHFBPC9YCGABHSSXEGN82,Short-term housing,t,housing.short-term-housing,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVF8W7D67CH3NVSQYA6
svtg_01GW2HHFBQ02KJQ7E5NPM3ERNE,Trans housing,t,housing.trans-housing,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVF8W7D67CH3NVSQYA6
svtg_01GW2HHFBQYAZE13SSFJ1WZ7J8,Clothes,t,hygiene-and-clothing.clothes,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVGD7CE9VKYVSZYYTPS
svtg_01GW2HHFBQNARDK4H2W30GC1QR,Gender-neutral bathrooms,t,hygiene-and-clothing.gender-neutral-bathrooms,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVGD7CE9VKYVSZYYTPS
svtg_01GW2HHFBQBV2YXAS0AQAFXY33,Haircuts and stylists,t,hygiene-and-clothing.haircuts-and-stylists,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVGD7CE9VKYVSZYYTPS
svtg_01GW2HHFBQ0J8FBM5SECT20H4K,Hygiene,t,hygiene-and-clothing.hygiene,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVGD7CE9VKYVSZYYTPS
svtg_01GW2HHFBQSF73S87ZRENXHKQV,Asylum application,t,legal.asylum-application,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVH75KPRYKD49EJHYXX
svtg_01GW2HHFBQ4R0QKMB5XKN0VPR3,Citizenship,t,legal.citizenship,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVH75KPRYKD49EJHYXX
svtg_01GW2HHFBQEVJCBZC1KSSEB8WN,Crime and discrimination,t,legal.crime-and-discrimination,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVH75KPRYKD49EJHYXX
svtg_01GW2HHFBQMRW61WVCRR82EJ55,Deferred Action for Childhood Arrivals (DACA),t,legal.deferred-action-for-childhood-arrivals-daca,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVH75KPRYKD49EJHYXX
svtg_01GW2HHFBQ817GKC3K6D6JGMVC,Gender affirming items,t,hygiene-and-clothing.gender-affirming-items,services,2023-03-21 16:55:20.191,2023-09-22 18:18:58.404,,svct_01GW2HHEVGD7CE9VKYVSZYYTPS
svtg_01HADA68N465FMV5P6XYD4VQBV,Trans relocation support,t,trans-focused-services.transport-relo-support,services,2023-09-22 18:18:53.812,2023-09-22 18:18:53.812,,svct_01HAD5SFNG7R86J1RTHXBFD96J
svtg_01HAD99DSF7TH2HDXNYC331BVN,Transportation for gender affirming care,t,trans-focused-services.transport-gacare,services,2023-09-22 18:18:53.533,2023-09-22 18:18:53.533,,svct_01HAD5SFNG7R86J1RTHXBFD96J
svtg_01HAD647BVMT10DWEXFG1EFM9J,Trans health - youth care,t,medical.trans-health-youth-care,services,2023-09-22 18:18:53.318,2023-10-25 15:43:56.697,,svct_01GW2HHEVKVHTWSBY7PVWC5390
svtg_01J1GDWBPK1YXMG0FHHV1EJGZ9,Bail Funds,t,financial-assistance.bail-funds,services,2024-06-28 22:01:29.859,2024-06-28 22:01:29.859,,svct_01J1DGAQK79BW8G73FA3RNXX3Q
svtg_01J1GDWBTAFVER5YFSW1BGR10W,Healthcare and insurance,t,financial-assistance.healthcare-and-insurance,services,2024-06-28 22:01:29.859,2024-06-28 22:01:29.859,,svct_01J1DGAQK79BW8G73FA3RNXX3Q
svtg_01J1GDWBQ6370K716SA51S5RW1,Housing and utilities,t,financial-assistance.housing-and-utilities,services,2024-06-28 22:01:29.859,2024-06-28 22:01:29.859,,svct_01J1DGAQK79BW8G73FA3RNXX3Q
svtg_01J1GDWBSWG27Y6GHSJ7PVHGAP,Legal fees,t,financial-assistance.legal-fees,services,2024-06-28 22:01:29.859,2024-06-28 22:01:29.859,,svct_01J1DGAQK79BW8G73FA3RNXX3Q
svtg_01J1GDWBHTYT6YAKG5E075D3XK,Camps and excursions,t,sports-and-entertainment.camps-and-excursions,services,2024-06-28 22:01:29.859,2024-06-28 22:01:29.859,,svct_01GW2HHEVPE008PHCPNHZDAWMS
svtg_01GW2HHFBNM7GG79WYXK355RC2,Mental health support,t,abortion-care.mental-health-support,services,2023-03-21 16:55:20.191,2023-06-07 22:32:50.634,,svct_01GW2HHEVBM0ZHVJ295P2QKR6H
