ohrs_01GW2HT8AGERF4FDYDQWP9R99A,1,20:00:00+00,00:00:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,5ef635fd024bee0017adde46,HIV Testing,During COVID Free HIV Testing is now on Mondays 4PM-8PM. Walk-ins welcome.,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8AGR10RZTFX6Y5B1HBH,4,20:00:00+00,00:00:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,5ef635fd024bee0017adde46,HIV Testing,During COVID Free HIV Testing is now on Mondays 4PM-8PM. Walk-ins welcome.,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8AHW97XQT0JCC8MGAH3,6,17:00:00+00,20:00:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,5ef63700024bee0017adde62,Center Hours,,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8AHVBK50C7R2R6X0TWR,5,23:30:00+00,00:30:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,6021c80e593f9c00156cb143,Alcoholics Anonymous Meeting,Currently meeting are on Zoom.,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8AHSF4X9VC88VD0XYB6,1,22:00:00+00,01:00:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,60c636c008fa950015c751ba,Queer Library,,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8AH7ZNSQKA1NMSXQ2N2,2,22:00:00+00,23:00:00+00,f,oloc_01GVH3VDZKXJ1C54HD9FS8PWHE,,orgn_01GVH3V3T2111TY4MR1HW6WS22,f,f,60c639e908fa950015c751e3,Queer Writing Workshop,This event is held over Zoom.,,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8CP5HHCF2XBF9EGAJ6B,1,12:30:00+00,21:00:00+00,f,oloc_01GVH3VDK7K221JFCDF058ATT1,,orgn_01GVH3V3R6MHVYTXFE1KYDZR1Q,f,f,5e7e4bd9d54f1760921a3abc,Clinic Hours,"Monday: Lunch break from 12:00 PM - 2:15 PM.
Tuesday, Thursday, Friday: Lunch break from 12:00 PM - 1:00 PM.
Wednesday (late hours): Lunch break from 2:00 PM - 3:00 PM.",,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8CPVWH1JYX1MW1PM4PG,2,12:30:00+00,21:00:00+00,f,oloc_01GVH3VDK7K221JFCDF058ATT1,,orgn_01GVH3V3R6MHVYTXFE1KYDZR1Q,f,f,5e7e4bd9d54f1760921a3abc,Clinic Hours,"Monday: Lunch break from 12:00 PM - 2:15 PM.
Tuesday, Thursday, Friday: Lunch break from 12:00 PM - 1:00 PM.
Wednesday (late hours): Lunch break from 2:00 PM - 3:00 PM.",,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8CQAMHB31FBSM50X3XY,3,14:30:00+00,23:00:00+00,f,oloc_01GVH3VDK7K221JFCDF058ATT1,,orgn_01GVH3V3R6MHVYTXFE1KYDZR1Q,f,f,5e7e4bd9d54f1760921a3abc,Clinic Hours,"Monday: Lunch break from 12:00 PM - 2:15 PM.
Tuesday, Thursday, Friday: Lunch break from 12:00 PM - 1:00 PM.
Wednesday (late hours): Lunch break from 2:00 PM - 3:00 PM.",,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
ohrs_01GW2HT8CQGR2M2BNBRWE94PS5,4,12:30:00+00,21:00:00+00,f,oloc_01GVH3VDK7K221JFCDF058ATT1,,orgn_01GVH3V3R6MHVYTXFE1KYDZR1Q,f,f,5e7e4bd9d54f1760921a3abc,Clinic Hours,"Monday: Lunch break from 12:00 PM - 2:15 PM.
Tuesday, Thursday, Friday: Lunch break from 12:00 PM - 1:00 PM.
Wednesday (late hours): Lunch break from 2:00 PM - 3:00 PM.",,,PST,2023-03-21 17:00:56.475,2023-04-07 07:01:14.139,America/Los_Angeles,t,,f
