orgn_01H48TD89YTXAE4QGEQW57QYRA,,Holy Spirit Episcopal Church,holy-spirit-episcopal-church,,,f,f,,srce_01GXD88N4X2XNE3DW0G1AZJ403,2023-07-01 13:31:20.265,2023-07-01 13:31:20.265,,,
orgn_01GVH3V4W73VEXF14QNYJVWAJV,5e7e4be1d54f1760921a5407,Salaam Canada,salaam-canada,salaam-canada-canada,ftxt_01GW2HR6HJMC6H5PCBRWVFHX94,f,f,2022-09-15 19:24:58.533,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2020-03-27 18:54:25.082,2023-06-02 03:56:18.569,,,
orgn_01GVH3V5YZV706TDMQ5KTKP388,5f109e1ef17762001764f3fd,Feminist Women's Health Center 2,feminist-womens-health-center-2,feminist-women's-health-center,ftxt_01GW2HRJCG6AB6WBE9N87RG73G,f,f,2022-10-01 16:26:47.504,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2020-07-16 18:36:14.761,2023-04-29 18:44:19.406,,,
orgn_01HFFS20STH7A2QWEAD0DW5NGY,,Orgullo Deportivo,orgullo-deportivo,,,f,f,,srce_01GXD88N4X2XNE3DW0G1AZJ403,2023-11-17 23:15:04.638,2023-11-17 23:15:04.638,,,
orgn_01GVH3V7M5Z7Y4Y0SEJRDEP4WY,5fecf136df1c530017154195,Mid-Ohio Kitchen,mid-ohio-kitchen,south-side-roots,ftxt_01GW2HRWQSRK6HPA617KP9XDC7,f,t,2022-08-04 02:04:48.126,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2020-12-30 21:29:26.708,2023-04-17 21:47:26.824,,,
orgn_01GVH3V9AKFEAEQPX7YTPNSAG7,6115819112b01400158515bb,LGBTQIA+ Community Center of Southern Nevada,lgbtqia-community-center-of-southern-nevada-sag7,identi-t,ftxt_01GW2HSBKF9KYYD8NTF3Y9ZXE7,f,t,2022-09-07 19:59:44.309,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2021-08-12 20:16:17.935,2023-04-29 21:51:35.332,,,
orgn_01GVH3V9CSD3SEAJ0VWK1CN43M,612e978772f2fc0015171a1d,Fourpoints Health,fourpoints-health,fourpoints-health,ftxt_01GW2HSCEWM7K31NDMFYT9EQ2S,f,f,2022-11-11 11:55:10.144,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2021-08-31 20:56:39.7,2023-06-03 19:30:14.838,,,
orgn_01GVH3V9CXPZXXVC1RQKV9AC6Y,612ec422c100d60015ca6e5e,Midvale Community Building Community,midvale-community-building-community,midvale-community-building-community,ftxt_01GW2HSCFG25SCYARZB8M24Y9N,f,f,2022-11-11 12:00:38.326,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2021-09-01 00:06:58.636,2023-06-03 19:31:05.783,,,
orgn_01GVH3V9E3N06TQXGAW7HVJVKA,61364d0939fe2200167d8d2f,Hurricane Family Healthcare Clinic,hurricane-family-healthcare-clinic,hurricane-family-healthcare-clinic,ftxt_01GW2HSCRRQSD294DGQGXQA7RE,f,f,2022-11-17 04:29:28.494,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2021-09-06 17:16:57.014,2023-06-03 19:32:18.058,,,
orgn_01GVH3V9E75BQZGY9X6B4QYSYT,6137c89afb305b001676afcf,Crossroads Urban Center,crossroads-urban-center,crossroads-urban-center,ftxt_01GW2HSCVC59NVMV2YVNXK83A0,f,f,2022-11-17 05:05:48.904,srce_01H3FR96DFKRAM07AZ8T8MXHE5,2021-09-07 20:16:26.451,2023-06-03 19:32:55.562,,,
