ophn_01GVH3VQJ9KGVBTJCYEBJCQ8BS,5eb87ac1282fcc0017459ef5,Hicksville United Methodist Church Office,5163421871,,f,f,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2020-05-10 02:36:36.795,2023-05-21 03:33:12.174,ftxt_01E7Y720HVNZ4NN0PKDVYT6785,f,
ophn_01GVH3VQJ9JGPKRVX505HJV7HZ,5eb87b62282fcc0017459eff,Main Office,2128703785,,t,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2020-05-10 02:36:36.795,2023-05-21 03:33:12.174,ftxt_01E7Y720HVH6867NBN9YQHEZSJ,f,
ophn_01GVH3VW2Y7R6Q7B2NCDZPJ43A,61045589d14cda0015d6d335,Other Program Coordinator (Jerry Cowden),5712413787,,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,f,2020-09-15 18:53:18.401,2023-05-21 03:36:39.137,ftxt_01EJ9HTCP16FRTCRZ9PT2PCTJ3,t,
ophn_01GVH3WK8GTND6ARJ5ZWHSBFV3,62cf5a4523b1b20016333957,CPACS COSMO Health Center Medical Office,7704460929,,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2022-07-12 15:54:30.723,2023-05-21 03:54:05.484,ftxt_01G7SHWZE33V1N6KF38469M6SB,f,
ophn_01GVH3WK8HSVYQE7J4W9ASS9V8,62d054f7c028d00016b5a067,Jose Fragoso (Youth Refugee Program),7709360969,152,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,f,2022-07-12 15:54:30.723,2023-05-21 03:54:05.484,ftxt_01G7SHWZE32XTMB5QSK1C3YCTR,t,
ophn_01GVH3VSEN4WEQTAZ7284N2K1T,5f1da3fcb7573b0017567107,Kalamazoo Office Phone,2694927196,,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2020-07-26 15:17:58.662,2023-05-21 03:05:58.168,ftxt_01EE5V7ER6NQAZWMV3ERRG28MZ,f,
ophn_01GVH3VSENQYCK5W4HTGWTG9Q2,5f1da41eb7573b001756710a,Grand Rapids Office Fax,6162027835,,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2020-07-26 15:17:58.662,2023-05-21 03:05:58.168,ftxt_01EE5V7ER6QNMNNW568SRM4NNS,f,
ophn_01GVH3VSENSAFGEVZR8GBZ4Q0P,5f1da43fb7573b0017567114,Washtenaw Office Fax,7349989125,,f,t,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,t,2020-07-26 15:17:58.662,2023-05-21 03:05:58.168,ftxt_01EE5V7ER6EVEB4GTPJ6AH450T,f,
ophn_01GVH3VG480XGRHZ8EVB3A5SZH,5e7e4bddd54f1760921a4863,Houston Office,7134960100,,f,f,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,f,2020-03-27 18:54:21.371,2023-04-10 22:54:53.547,ftxt_01E4ENGP5VF3KAR13T2Y63T2SQ,f,
ophn_01GVH3VG48C1FEQD1XE56A1ZBZ,5e7e4bddd54f1760921a4864,San Francisco Bay Area Office,6502702100,,f,f,f,t,ctry_01GW2HHDK9M26M80SG63T21SVH,,f,2020-03-27 18:54:21.371,2023-04-10 22:54:53.547,ftxt_01E4ENGP5VM5P2WP5NES2EYPF5,f,
